cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
10.753.164/0001-43,ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,Aquisição de Quaisquer Direitos Creditorios Do Agronegocio Com A Consequente Emissão de Certificados de Recebiveis Do Agronegocio No Mercado Financeiro E de Capitais.,6301,816,389,3641,1406,4784,1447,478,4113,1086,9000,1030,185,5802,993,7304,2071,696,7288,1390,8845,1230,528,2510,886,11029,1701,539,2103,1200,11153,1626,574,10975,1108,11138,4754,1624,947,319,6104,3513,673,4381,1974
08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,Serviços de Apoio Administrativo E de Engenharia. Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos.,3767121,387398,331129,10178029,973590,3037756,925108,327764,8628636,1022255,2961523,986846,330630,7480594,1116253,2579537,797338,276219,6104720,951369,2153113,585313,198236,5253875,896014,2214482,621993,225893,4227674,807871,2067554,679789,212274,4049830,806791,1719427,656870,201322,3004762,779320,1372706,555526,167305,2764145,860383
04.149.454/0001-80,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos E Organização Logísitica Do Transporte de Carga.,3952889,95624,331133,11542453,455351,3169267,723560,327910,10020935,640319,3066359,756249,327341,7815758,756570,2828996,220112,278924,6603407,572547,2735719,290815,215415,7860983,1638454,2937001,716908,241440,6701870,1784186,2639059,634179,212625,6500768,2098029,2087521,665522,230853,5805575,2125487,1827371,605188,207794,3780606,1885101
03.983.431/0001-03,EDP - ENERGIAS DO BRASIL S.A.,área de Negócios: Geração. Distribuição. Transmissão E Comercialização de Energia Elétrica,15228336,1927280,287901,27489069,10331597,13834220,1796953,297714,22772071,9674581,12373375,1044160,201468,20607952,9037597,9364772,989187,421631,19243283,8985058,10260434,1762686,127274,18412340,7488447,8898728,1186880,108643,13171799,6566803,7096492,813609,253993,14141494,6253173,6454488,778858,146327,12729446,6332386,0,0,0,0,0
28.152.650/0001-71,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,Distribuição de Energia Elétrica,3834943,524596,51936,5098201,1054189,3391814,206124,26131,3814099,925033,2953118,149509,31291,3587538,791900,2776522,275370,69678,3207613,951640,2994899,166453,21184,3160743,966188,2428845,262854,5918,2839121,907006,2027508,176094,34884,2372139,687191,1904705,214595,19681,2376182,614465,0,0,0,0,0
02.302.100/0001-06,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,Distribuição de Energia Elétrica,4403520,431420,93769,5513653,1243488,4189086,288150,75836,4038785,1197409,3975741,271154,-57905,3677691,1105701,3140132,166302,278435,3137379,1002182,3940094,365845,10326,3332050,1133485,3198650,337205,-6536,2769806,1068756,2605852,265766,67871,2457370,1104256,2557089,112599,6858,2401488,779289,0,0,0,0,0
82.643.537/0001-34,ELECTRO ACO ALTONA S.A.,Fundição de Ferro E Aço,299194,19452,0,368478,162778,246961,12298,0,345511,153023,168407,42764,0,253402,97996,117687,-2990,0,244566,69205,146637,-1003,0,269385,71794,171325,9065,0,271097,73510,180363,13560,0,262022,69020,183783,11660,0,254190,63144,172191,12514,0,238009,55440
02.328.280/0001-97,ELEKTRO REDES S.A.,Distribuição de Energia Elétrica,6772605,694834,113671,7881509,2666751,6249356,587442,96368,7853743,2293827,5811495,537872,68357,6453521,2030301,4754980,477769,19807,6283450,1998294,5613762,519125,91628,7402363,1962445,4762815,635926,134164,5801992,2220259,3549334,449856,104079,4601380,2052755,3569543,471924,109525,4558718,1936372,0,0,0,0,0
01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,A Eletropar Tem Por Objeto Social Principal A Participação No Capital Social Da Eletropaulo - Eletricidade de São Paulo S.A.. Concessionária de Serviços Pub. de Energia Elét.. E de Outras Sociedades.,0,-1147,1238,232427,176409,0,14789,731,229438,187432,0,50314,4819,243351,201037,0,36389,880,221079,188624,0,5936,626,172753,145007,0,-2425,519,153551,140902,0,3372,9,152635,141904,0,13837,502,183423,161683,0,24892,1237,243224,202049
61.695.227/0001-93,ELETROPAULO METROP. ELET. SAO PAULO S.A.,Distribuição de Energia Elétrica,14704049,1167786,-22287,26469544,3969216,14489839,-448819,0,18554580,2880980,13083172,-1312956,2,16087314,1751838,11659899,15411,18053,13565197,2694812,13667413,158973,103262,13274827,2839145,10596616,-196375,85708,11590259,2567808,9012207,309618,92711,10694051,2829462,9959198,72868,661,11303378,1708960,9835578,2323223,733137,11024810,3213818
02.302.101/0001-42,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,Produção de Energia Elétrica,439003,123798,59885,1500335,990225,316417,83514,35865,1338612,868855,209510,156194,21553,1245025,819875,206607,77486,17933,1125762,722939,198444,66094,7501,1098255,760707,151102,-16909,11271,1094219,680554,192834,63543,466,1152172,764339,174509,-55939,3774,1067195,617775,164093,-20311,16669,1132142,771885
07.689.002/0001-89,EMBRAER S.A.,Projeto. Desenvolvimento. Fabricação. Comercialização de Aeronaves E Sistemas E Fornecimento de Suporte E Serviços de Pós-venda.,10467931,-401402,152925,42614656,14569552,7888033,-1064388,28748,43758768,15266994,0,0,0,0,0,21435696,555821,493077,38016671,12844858,20301771,1101892,440247,45566910,15008670,14935910,1201051,180956,27653600,10265486,13635846,1352291,139834,23760310,8509009,12180463,1222317,384784,19374163,6846482,9837903,382572,70446,16598608,5848433
06.626.253/0001-51,EMPREENDIMENTOS PAGUE MENOS S.A.,Comércio de Produtos Farmacêuticos. Perfumarias E Afins. Sem Manipulação de Fórmulas.,6422248,-30026,0,4807686,1024520,6245050,48326,0,3376885,1031295,5962804,65018,5814,2915570,941267,5542343,-7438,37399,2774325,877829,4630548,35417,0,3022053,882990,4081834,128207,1466,2234853,464098,3581629,125467,8512,1586547,394859,3137903,125757,12556,1299727,327980,2783129,133549,17888,1006120,247262
01.971.614/0001-83,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,Holding,0,-17431,191,302658,187644,0,29970,159,304078,198322,0,44922,2782,292255,129721,0,-85213,307,278329,83863,0,-60114,577,292865,169197,0,-49027,1143,341332,237224,486,12235,719,332309,243242,3080,-8693,956,181747,160794,3363,47395,1437,218062,181686
11.669.021/0001-10,ENAUTA PARTICIPAÇÕES S.A.,Participação em Sociedades Que Se Dediquem à Exploração. Produção E comercialização de Petróleo. Gás Natural E Seus Derivados. Seja Como Sócio Ou acionista Ou Outras Formas de Associações.,1111670,241408,56791,4549170,2895536,797204,536108,68346,3943533,3199587,501726,434619,78301,3938541,3110110,476454,167855,13834,3563420,2779647,496192,75710,8242,3430263,2689165,503232,211159,13249,3232238,2590004,486088,187683,17918,3039321,2409057,462306,122498,34230,2434042,2227797,289007,121211,32013,2729723,2175763
15.413.826/0001-50,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,Distribuição de Energia Elétrica,2819552,490280,129212,3411395,888228,2543126,249857,45114,3139533,828633,2234492,158724,42231,2846877,816448,1963574,156554,61458,2652211,839919,2031746,165351,18537,2597403,803589,1675539,51396,0,2334010,754079,1463120,-25764,1424,1877509,666081,1517353,-9438,13300,2032684,686512,1334601,214660,38865,1882917,787330
03.467.321/0001-99,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,Distribuição de Energia Elétrica,4932960,698554,99619,7738839,2218571,4373420,532994,25182,6596780,1745952,3851287,35543,31668,5917524,1798848,3331068,115291,11423,5329113,1793609,3564422,69679,0,4666751,1349626,2662228,-35821,58510,4402872,1317096,2312967,-401646,0,3675473,816945,2344799,-40416,23917,3822248,1227392,2009768,213842,42639,3551439,1268649
00.864.214/0001-06,ENERGISA S.A.,Sociedade de Participações em Outras Empresas. Predominantemente em Distribuidoras de Energia Elétrica.,19903135,981638,357709,39319814,6462220,15787581,1917385,-1795900,36418008,6047528,13637154,606890,150891,22048356,4784522,11810695,344080,275334,20022820,4773041,12178539,-181279,134310,18502182,3318170,8311086,327470,291739,18601642,2998860,2857772,248406,0,5526980,1826516,2919079,422506,0,5081875,1457564,0,0,0,4270161,1281451
04.423.567/0001-21,ENEVA S.A,Empresa de Recursos Naturais E de Geração de Energia Elétrica. Integração Vertical Na Geração de Energia Elétrica.,3137369,556459,39483,13863144,6900081,3129107,613758,35912,12299682,6283880,2721773,185054,49494,10907381,5375935,2160983,11713,45191,10360571,4480808,1518633,147861,13825,8492078,3577177,1798092,-993764,1238,7044418,1217712,1438831,-933269,3744,9689212,2573873,48786,-497330,1921,8039596,2701138,0,0,0,0,0
02.474.103/0001-19,ENGIE BRASIL ENERGIA S.A.,Geração E Comercialização de Energia Elétrica,9804478,3087937,555024,30135578,6998820,8794792,2967816,392447,23735545,6320577,7009957,2623380,419560,19568513,6834725,6442371,2066773,636385,14419691,6614394,0,0,0,0,0,6472496,1956649,508686,13620546,5654949,5568658,2001709,608767,12637626,5364611,0,0,0,0,0,0,0,0,0,0
16.922.038/0001-51,ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,Plataforma Digital de Compra E Venda de Para Produtos Usados. Por Meio Da Criação de lojas Virtuais Pelos Próprios Usuários,53677,-20785,0,36954,14945,38999,-20095,0,52089,35702,33553,-12979,-133,19836,9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,Empresa Holding Com Atuação No Setor Elétrico,18796346,3680059,200787,37530095,9773372,11252627,1295549,145836,25505996,6552871,9071420,1241116,112061,17488452,5748104,7952181,1050012,80993,14219520,4871687,7252942,1121063,50530,12585887,4229239,6804465,711932,66430,11268636,3445525,4715036,69467,-44007,9103499,2847647,2884496,311843,42321,9280447,2515592,1942073,301920,24946,3300765,1258543
06.272.793/0001-84,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Empresa Distribuidora de Energia Elétrica Para Todo O Estado Do Maranhão.,3793558,784481,77482,7135005,2794244,3796771,813275,75271,6991580,2852515,3370836,591559,57691,6553340,2447799,3064644,489413,40444,5628193,2176199,2738793,443114,31968,5119339,1948274,2484218,400505,39077,4529736,1653551,1968774,241487,14283,3615568,1381058,2348082,489718,40247,3610523,1226364,1912105,302426,24119,2965340,964137
04.895.728/0001-80,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,Distribuição de Energia Elétrica,5595340,594697,40647,9955000,3301874,5491536,562544,34096,9055324,3006081,5150974,522727,28347,8596199,2582714,4513037,421479,31468,7791993,2118012,4187313,597229,13462,6856209,1844970,3987178,192627,9014,6044392,728437,2494994,-239538,0,4469736,394077,2349951,-768916,0,4518762,104436,2433800,-418597,-1198,4358111,500497
61.092.037/0001-81,ETERNIT S.A.,Industrialização E Comercialização de Produtos de Fibrocimento. Cimento. Concreto. Gesso. Produtos de Matéria Plástica. Bem Como Outros Materiais de Construção E Respectivos Acessórios.,488671,44439,16729,545587,-2778,536905,-133322,10615,569136,12250,665739,-244946,4313,563622,170510,827275,-27727,17269,842448,459649,974872,68617,48851,933194,500116,978154,130084,41309,897864,514808,957301,142229,41489,833632,506129,906317,157802,44261,810120,479534,820238,131140,37138,691935,438106
56.643.018/0001-66,EUCATEX S.A. INDUSTRIA E COMERCIO,Indústria E Comércio de Chapas de Fibra de Madeira,1525780,95344,24687,2299003,1326676,1262329,38096,8751,2199745,1262929,1205361,31305,7835,2039758,1237297,1144450,36441,4573,2014448,1201180,1143261,-12450,9310,2018421,1173356,1114668,42254,9686,1940295,1162474,1118346,102291,8770,1905530,1139464,963468,114028,15918,1779674,1068651,899120,97830,15369,1713986,997223
43.470.988/0001-65,EVEN CONSTRUTORA E INCORPORADORA S.A.,Construção. Incorporação E Loteamento.,1912997,182751,39325,4983545,1877442,1474852,-114858,34914,4841221,1807499,1385095,-261180,41822,4743226,1986927,1743088,81374,41918,5018723,2419129,2205111,196501,46306,5136789,2466162,2205895,323244,56445,4880080,2419495,2458987,377935,53514,4804693,2315876,2511482,415070,68107,4372827,2123497,1908348,293715,53933,3898111,1846921
95.426.862/0001-97,EXCELSIOR ALIMENTOS S.A.,,180154,17339,8,121104,71747,173867,14843,5207,89611,49147,163050,14019,4953,81103,41483,134019,11600,3274,69969,34300,113799,8413,1850,54922,28437,121758,14217,3101,49291,24228,117288,14738,3657,43318,16959,95813,6130,1204,39197,8231,68746,3231,0,38083,4122
08.312.229/0001-73,EZ TEC EMPREEND. E PARTICIPACOES S.A.,(a) Incorporação E Comercialização de Empreendimentos Imobiliários de Qualquer Natureza. (b) Administração E Locação de Imóveis Prórpios. (c) Loteamento de Terrenos. (d) Construção de Condomínios ...,804390,313183,17350,4275916,3809544,390762,112138,14384,2974076,2637012,980323,384199,27684,3103748,2564402,572227,248447,17322,3516165,2844413,814363,473279,31837,3291023,2705554,951472,497078,21562,3415876,2416809,1138962,615040,20040,2849400,2110466,632413,350476,15642,2042227,1662749,0,0,0,1712910,1405201
12.489.315/0001-23,FERREIRA GOMES ENERGIA S.A.,Construção. Operação E Exploração de Potencial de Energia Hidráulica E Comercialização Ou Utilização Da Energia Elétrica Produzida,222488,21014,1441,1557124,891634,205790,33138,2230,1626077,880629,192982,17293,1422,1628226,842277,166834,-15020,0,1609899,823619,139186,-26482,0,1648882,809012,83763,74047,4591,1681663,643455,0,-1523,0,1258492,311998,0,-772,0,743028,152022,0,0,0,0,0
00.924.429/0001-75,FERROVIA CENTRO-ATLANTICA S.A.,Serviço de Transporte Ferroviário,2417420,-146862,10154,8878397,4832761,2413961,61229,9582,5387899,4381414,2124532,14599,1611,5182382,4261605,1667362,-29972,0,5104248,4408942,1653189,31083,6632,4887010,1596301,1500424,-31387,0,4383432,1567147,1276263,-448586,0,4052187,1526514,1113378,-163150,0,3303695,1372955,1010269,-175196,0,2671747,1536105
22.266.175/0001-88,FERTILIZANTES HERINGER S.A.,Produção. Comercialização E Distribuição de Fertilizantes. Com Atuação Nacional.,1181340,905718,0,1579933,31385,3688722,-528713,0,1825722,-621836,4789723,-192852,0,2945048,163603,5194970,60317,18577,2855544,289207,6308405,-514982,0,3333510,246014,5951799,9781,0,3311081,445210,5427935,-53173,0,2996698,437243,5330657,-7958,16104,3061111,471146,4704010,95093,6942,2593502,473612
17.167.412/0001-13,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,A Sociedade Tem Por Objeto A Prática de Todas As Operações de Crédito. Financiamento E Investimentos Permitidas Pelas Leis E Regulamentos Aplicáveis à Espécie.,628886,108106,20293,6123759,12590,595479,104751,16399,5936980,19123,650451,108782,21614,5374288,18263,880310,63716,24301,4622923,12305,896132,56361,19978,4940418,28114,819390,46175,7893,5142272,29765,678510,33099,10355,5899831,14110,705380,155901,11015,6091012,11075,589383,122960,5600,3976783,6307
91.669.747/0001-92,FINANSINOS S.A.- CREDITO FINANC E INVEST,Financiamento de Bens E Serviços - Intermediação Financeira,2100,-519,0,13930,0,2224,-609,0,14915,0,6363,711,0,18438,0,5110,-248,0,20052,0,6047,-8456,0,22101,0,7295,1279,0,29567,0,7215,826,0,28703,0,6853,1742,0,30386,0,6395,1116,0,24535,0
60.840.055/0001-31,FLEURY S.A.,(i) A Prestação de Serviços Médicos E Medicina Diagnóstica. (ii) A Consultoria. Assessoria. Cursos E Palestras Na área Da Saúde. Bem Como A Prestação de Serviços Que Visem A Promoção de Saúde,2905107,426201,109120,5096652,1758976,2664463,451140,91281,3910448,1749961,2383012,427765,35116,3527332,1706528,2096113,294376,16346,3005820,1535725,1894960,172480,15855,3204236,1655439,1678900,143598,0,3077788,1572964,1656896,111177,0,3211167,1689033,1501783,155892,1045,2738159,1705908,1125741,133335,25666,2841937,1631881
10.851.805/0001-00,FLEX GESTÃO DE RELACIONAMENTOS S.A.,A Companhia Atua Na Prestação de Serviços Especializados de Contact Center Ativo E Receptivo E Cobrança. Fazendo Gestão de Relacionamento Para Clientes E Seus Consumidores.,513535,-28229,739,420171,52602,532446,-5546,90,361393,71626,527843,2682,74,294750,75357,494843,11315,6101,259550,61724,321020,5583,4532,212042,49479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88.610.126/0001-29,FRAS-LE S.A.,Indústria de Autopeças E Materiais de Fricção,1365509,70332,22783,1620024,779328,1141149,102274,-2252,1527213,826560,832831,83595,17409,1356465,783021,812651,86281,18772,1202304,773042,875026,67336,30566,970959,433253,764677,57717,0,942409,408967,717281,50058,0,934196,395848,662758,31447,0,897342,368980,0,0,0,0,0
01.545.826/0001-07,GAFISA S.A.,,400465,-49378,1984,2551887,895143,960891,-443027,3349,2526280,493191,786174,-881796,2832,2876360,715069,915698,-501941,10722,5210089,1930453,1443357,35419,14763,6760332,3097236,1580861,75403,25304,7205852,3058403,2481211,239368,23690,8183030,3214483,2805086,-261585,17403,8712569,2685829,0,0,0,9164783,2743576
